post_title,link_type,link_group,link_url,menu_order
World Food Preservation Center,websites,NGOs,http://worldfoodpreservationcenter.com/index.html,1
SecureNutrition,websites,Food Security,https://socialprotection.org/connect/stakeholders/securenutrition,2
Global Food Waste: The Numbers Behind The Problem,websites,Food Security,http://insinkerator.co.uk/uk/page/global-food-waste-stats,3
European Food Safety Authority,websites,Food Security,http://www.efsa.europa.eu/,4
U. S. Department of Agriculture,websites,Food Security,https://www.usda.gov/topics/food-and-nutrition/food-security,5
Feed the Future,websites,Food Security,https://www.feedthefuture.gov/progress,6
Food Safety for Kids: A Guide for Parents,websites,Food Security,http://uk.rs-online.com/web/generalDisplay.html?id=i/food-safety-for-kids,7
National Health Association (NHA),websites,Food & Health,https://www.healthscience.org/,8
Agricultural Information Services,websites,Agricultural Internet Services,http://www.aisglobal.net/,9
Intellicast Weather,websites,Agricultural Internet Services,http://www.intellicast.com/,10
Organic Farming and Produce Links,websites,Agricultural Internet Services,https://www.epa.gov/agriculture/organic-farming,11
"Myers Industries, Inc.",websites,Agricultural Internet Services,http://www.myersindustries.com/Home.aspx,12
Greenhouse Produce Company LLC,websites,Agricultural Internet Services,http://www.greenhouseproduce.net/,13
AgriSeek,websites,Agricultural Internet Services,http://www.agriseek.com/,14
MNP,websites,Agricultural Internet Services,http://www.mnp.ca/en/agriculture,15
Cosmocel,websites,Agricultural Internet Services,https://cosmocel2015.wixsite.com/sitioweb,16
National Biological Impact Program,websites,Biotechnology Extension and Information,https://portal.nifa.usda.gov/web/crisprojectpages/0211706-national-biological-impact-assessment-program-information-systems-for-biotechnology.html,17
Biotechnology Information Center,websites,Biotechnology Extension and Information,http://www.nal.usda.gov/bic/,18
Food & Agricultural Biotechnology (BIO),websites,Biotechnology Extension and Information,https://archive.bio.org/food-agricultural-biotechnology,19
Information Systems for Biotechnology,websites,Biotechnology Extension and Information,https://vtechworks.lib.vt.edu/handle/10919/78421,20
OMICS International,websites,Biotechnology Extension and Information,https://www.omicsonline.org/,21
Controlled atmopshere storage & airtight storage,websites,Technologies,http://jmt-us.com/,22
California Tomato Commission,websites,"Commissions, Boards, Organizations",http://www.tomato.org/,23
National Watermelon Production Board,websites,"Commissions, Boards, Organizations",http://www.watermelon.org/,24
National Mushroom Council,websites,"Commissions, Boards, Organizations",http://www.mushroomcouncil.com/,25
"WholeFoods, Inc.",websites,Consumer Direct Marketing,http://www.wholefoodsmarket.com/,26
FloraSource Ltd,websites,Consumer Direct Marketing,http://www.florasourceltd.com/,27
"Frieda’s, Inc.",websites,Consumer Direct Marketing,http://www.friedas.com/,28
Vegetarian Express,websites,Consumer Direct Marketing,http://www.vegetarianexpress.co.uk/,29
The Green Grocer,websites,Consumer Direct Marketing,http://www.thegreengrocermanila.com/,30
Consumer Information Produce Oasis,websites,Consumer Direct Marketing,https://oasis.ag/Public/About,31
"Cut Flower Wholesale, Inc.",websites,Consumer Direct Marketing,http://www.cutflower.com/,32
PeaPod Direct Produce,websites,Consumer Direct Marketing,http://www.peapod.com/,33
Calavo,websites,Consumer Direct Marketing,http://calavo.com/,34
Food Network,websites,Consumer Direct Marketing,http://www.foodnetwork.com/,35
Consumer Dangers,websites,Consumer Direct Marketing,http://www.consumerdangers.com/,36
Foxy,websites,Consumer Direct Marketing,https://www.foxy.com/,37
All about Fresh New Zealand Grown Vegetables,websites,Consumer Direct Marketing,http://www.vegetables.co.nz/,38
Primus Laboratories,websites,Diagnostic Services & Residue Testing,http://www.primuslabs.com/,39
AgroLab,websites,Diagnostic Services & Residue Testing,https://www.agrolab.com/es/,40
"Catalytic Generators, Inc.",websites,Ethylene and Ripening,http://www.catalyticgenerators.com/,41
Dade Services Corporation,websites,Ethylene and Ripening,http://www.dadeservice.com/,42
"Ethylene Control, Inc.",websites,Ethylene and Ripening,http://www.ethylenecontrol.com/,43
Delmonte Fresh,websites,Food Companies,http://www.freshdelmonte.com/,44
Dole,websites,Food Companies,http://www.dole.com/,45
"Jazan Development Co. (JAZADCO), Saudi Arabia",websites,Food Companies,http://www.jazadco.com.sa/,46
"The National Agricultural Development Company (NADEC), Saudi Arabia",websites,Food Companies,https://nadec.com/en/,47
Institute of Food Science and Engineering,websites,Food Safety,https://catalog.uark.edu/generalinfo/universitycentersandresearchunits/instituteoffoodscienceandengineering/,48
Environmental Working Group-Food Pesticides,websites,Food Safety,http://www.ewg.org/,49
National Food Safety Database,websites,Food Safety,https://worldfoodsafety.org/,50
World Food Safety Organisation,websites,Food Safety,http://www.worldfoodsafety.org/2010/,51
Cerebral palsy and cancer,websites,Health organizations,https://www.cerebralpalsyguide.com/cerebral-palsy/coexisting-conditions/cancer/,52
American Lung Association,websites,Health organizations,http://www.lung.org/about-us/,53
Quit Smoking Community,websites,Health organizations,http://quitsmokingcommunity.org/,54
