post_title,pub_authors,pub_year,pub_source,pub_link,pub_note,pub_type
"Maldonado Celis, M. E. and Elhadi M. Yahia. 2026. Mango fruit contribution to human nutrition and health. In: R.E. Litz, et al. (Eds). The Mango: Botany, Production and Uses. 3rd Edition. CAB International 2026, p. 587-612. DOI: 10.1079/9781800622647.0024",,2026,,https://elhadiyahia.net/wp-content/uploads/2026/04/2026_Maldonado-Yahia_Mango-contribution-to-nutrition-and-health-.pdf,,Book Chapters
"Brecht, J.K., E.M. Yahia, and F. Shahzad. 2026. Postharvest Physiology. Chap. 21, p. 495-523. In: R. Litz, V. Galan Sauco, I. Bally (eds.). The Mango: Botany, Production and Uses. Third Edition. CABI, Wallingford, U.K . https://doi.org/10.1079/9781800622647.0021",,2026,,https://elhadiyahia.net/wp-content/uploads/2026/04/2026_Brecht-Yahia-Shazad-Mango-PH-physiology.pdf,,Book Chapters
"Yahia, Elhadi M. 2020 . Introduction. p. XXVIII-XXXI. In: Yahia, Elhadi M. (Editor). 2020. Food loss and waste prevention to achieve food security and sustainability. Burleigh Dodds Science Publishing, UK.",,2020,,https://www.taylorfrancis.com/books/edit/10.1201/9780429266621/preventing-food-losses-waste-achieve-food-security-sustainability-elhadi-yahia,,Book Chapters
"Yahia, Elhadi M . and C.A. Bucatariu. 2020 . Food losses and waste: Terminology, definitions, and quantification, and causes, p. 39-82. In: Yahia, Elhadi M. (Editor). 2020. Food loss and waste prevention to achieve food security and sustainability. Burleigh Dodds Science Publishing, UK.",,2020,,https://www.taylorfrancis.com/chapters/edit/10.1201/9780429266621-2/food-losses-waste-terminology-definitions-quantification-causes-elhadi-yahia?context=ubx&refId=81d069f2-443a-4775-82af-86265b7f4ff3,,Book Chapters
"Chavez-Servin, J.; R.A. Ferriz Martinez, and E.M. Yahia . 2020 . The impact of food losses and waste on human nutrition and health, p. 147-186. In: Yahia, Elhadi M. (Editor). 2020. Food loss and waste prevention to achieve food security and sustainability. Burleigh Dodds Science Publishing, UK.",,2020,,https://www.taylorfrancis.com/chapters/edit/10.1201/9780429266621-6/impact-food-loss-waste-human-nutrition-health-jorge-ch%C3%A1vez-serv%C3%ADn-roberto-ferriz-mart%C3%ADnez-elhadi-yahia?context=ubx&refId=0acb6a50-88dc-40ee-9624-0012ae7c59b0,,Book Chapters
"Yahia, Elhadi M. ; J de J Ornelas-Paz; P. Bridgemohan, and S. Vergara. 2020 . Food losses during production of agricultural commodities, p. 249-286. In: Yahia, Elhadi M. (Editor). 2020. Food loss and waste prevention to achieve food security and sustainability. Burleigh Dodds Science Publishing, UK.",,2020,,https://www.taylorfrancis.com/chapters/edit/10.1201/9780429266621-9/food-losses-production-agricultural-commodities-elhadi-yahia-jos%C3%A9-de-jes%C3%BAs-ornelas-paz-puran-bridgemohan-santiago-vergara?context=ubx&refId=cf7696e8-5d4d-4bf4-a378-c2e6fb67cc5a,,Book Chapters
"Yahia, Elhadi M. and Marie Mourad. 2020 . Food waste at the consumer level, p. 341-365. In: Yahia, Elhadi M. (Editor). 2020. Food loss and waste prevention to achieve food security and sustainability. Burleigh Dodds Science Publishing, UK.",,2020,,https://www.taylorfrancis.com/chapters/edit/10.1201/9780429266621-12/food-waste-consumer-level-elhadi-yahia-marie-mourad?context=ubx&refId=d4868cd8-6980-4b74-85aa-5af981eb4650,,Book Chapters
"Yahia, Elhadi M. and J. M. Fonseca. 2020 . Losses and waste in fruits and vegetables. In: Yahia, Elhadi M. (Editor). 2020. Food loss and waste prevention to achieve food security and sustainability. Burleigh Dodds Science Publishing, UK, p. 407-444.",,2020,,https://www.taylorfrancis.com/chapters/edit/10.1201/9780429266621-15/losses-waste-fruits-vegetables-elhadi-yahia-jorge-fonseca?context=ubx&refId=a5508a06-0734-49f6-a285-87c03575e3b9,,Book Chapters
"Yahia, Elhadi M. 2020 . Food losses and waste in the Near East and North Africa region. In: Yahia, Elhadi M. (Editor). 2020 . Food loss and waste prevention to achieve food security and sustainability. Burleigh Dodds Science Publishing, UK, p. 639-727.",,2020,,https://www.taylorfrancis.com/chapters/edit/10.1201/9780429266621-26/food-losses-waste-near-east-north-africa-region-elhadi-yahia?context=ubx&refId=d6a91788-c221-46e5-b9f1-f6726402ae22,,Book Chapters
"Yahia, Elhadi M . 2019 . Introduction. In: Yahia, Elhadi M. (Editor). 2019. Achieving sustainability cultivation of tropical fruits. Burleigh Dodds Science Publishing. UK, p. XX-XXXV.",,2019,,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.1201/9781003180623&type=googlepdf,,Book Chapters
"Omzzine, Abdallah, Elhadi M. Yahia , and Camelia Bucatariu. 2020 . The multidimensional socio-economic impacts of food losses and waste. In: Yahia, Elhadi M. (Editor). 2019. Achieving sustainability cultivation of tropical fruits. Burleigh Dodds Science Publishing. UK, p. 107-126.",,2020,,https://www.bdschapters.com/webshop/a-z-chapters/t/the-multidimensional-socio-economic-impacts-of-food-losses-and-waste/,,Book Chapters
"Yahia, Elhadi M. 2019 . Introduction. P. 1-40. In: Yahia, Elhadi M . (Editor). 2019. Postharvest technology of perishable horticultural commodities. Woodhead Publishing Co., Oxford, UK.",,2019,,https://www.elsevier.com/books/postharvest-technology-of-perishable-horticultural-commodities/yahia/978-0-12-813276-0,,Book Chapters
"Yahia, Elhadi M ., J.M. Fonseca, and L. Kitinoja. 2019 . Postharvest losses and waste. P. 43-70. In: Yahia, Elhadi M. (Editor). 2019. Postharvest technology of perishable horticultural commodities. Woodhead Publishing Co., Oxford, UK.",,2019,,https://www.elsevier.com/books/postharvest-technology-of-perishable-horticultural-commodities/yahia/978-0-12-813276-0,,Book Chapters
"Yahia, Elhadi M . 2019 . Classification of horticultural commodities. P. 71-98. In: Yahia, Elhadi M. (Editor). 2019. Postharvest technology of perishable horticultural commodities. Woodhead Publishing Co., Oxford, UK.",,2019,,https://www.elsevier.com/books/postharvest-technology-of-perishable-horticultural-commodities/yahia/978-0-12-813276-0,,Book Chapters
