post_title,team_group,team_role,team_bio,team_tags,menu_order,featured_image
"Elhadi M. Yahia, Ph.D.",lab,Emeritus Professor · Laboratory Leader,"Emeritus professor Laboratory leader Education: B.Sc. from the University of Tripoli, Libya; M.Sc. from the University of California, Davis, and Ph.D. from Cornell University, Ithaca, New York, USA Dr. Elhadi M. Yahia is Emeritus Professor, Senior Scientist at the University of Querétaro, Mexico, where he teaches, conducts research and supervises graduate students, and the global food industry on “food security, postharvest technology, food science and technology, and human nutrition”, and is also Courtesy Professor at the University of Florida, USA. He published 25 books in 3 languages, and more than 400 scientific and technical articles and book chapters on biology, technology and handling of perishable foods. He acted as Agro Industry Officer at the Food and Agriculture Organization (FAO) of the United Nations where he collaborated on the launching of the Global Initiative on Food Loss and Waste Reduction, and developed national and regional agroindustry strategies, among several other activities. He serves as consultant to many organizations such as FAO, the World Bank, the Asian Development Bank, the Global Cold Chain Alliance, the World Food Logistics Organization (WFLO), the Global Cold Food Foundation (GCCF), USAID, USDA, ICARDA, among others. He is member of the Mexican Academy of Sciences, the New York Academy of Sciences, The Scientific Research Society (Sigma Xi), The Council of Scientific Advisors of the GCCA/GCCF, and several other national and international organizations, and has been classified as among the top 2% of World Scientists by Stanford University, USA. He holds a B.Sc. from the University of Tripoli, Libya, M.Sc. from the University of California, Davis, Ph.D. from Cornell University, Ithaca, New York, and postdoctoral training at the University of California, Davis. .",México,1,https://elhadiyahia.net/wp-content/uploads/2024/06/Dr.-Elhadi-Yahia.-Foto.jpg
Dr. Francisco Lujan Méndez,lab,Professor & Researcher,"Education: Ph.D. in Chemical-Biological Sciences (Biomolecular Chemistry), Faculty of Chemistry, Autonomous University of Querétaro (UAQ) • M.Sc. in Human Nutrition, Faculty of Natural Sciences (UAQ) • Clinical Nutritionist, Autonomous University of Aguascalientes (UAA) / Women’s Hospital, Aguascalientes. Institutional Experience: Served for six years as General Coordinator of University Health Services at UAQ. Currently a Professor and Researcher at the Faculty of Natural Sciences (UAQ), teaching biochemistry, cell and molecular biology, physiology, and immunobiology with an oncology focus. Scientific Production: Author of four articles in international peer-reviewed journals (Cells, Pharmaceuticals) and co-author of a book chapter. Serves as a reviewer for Frontiers in Immunology and Lux Médica. Research Areas: Identification and characterization of phytochemicals with antitumor and immunogenic activity (Phytochemicals and Human Nutrition Laboratory, FCN-UAQ). Study of the immunogenic and antitumor properties of a recombinant lectin and a candidate anticancer biopharmaceutical (in collaboration with the Molecular and Cellular Biology Laboratory, FCN-UAQ). Identification of biomarkers in colorectal cancer via instrumental analysis of tumor tissue (in collaboration with the Pharmaco-Oncology Laboratory, National Cancer Institute of Mexico). Technical Skills: Bioactive compound extraction and characterization • Cell and primary culture, ex vivo differentiation • Protein extraction and analysis (electrophoresis, Western blot) • Flow cytometry • Immunohistochemistry • Establishment of experimental cancer models (ectopic/orthotopic allotransplants) and chemical induction of carcinogenesis in rodents • HPLC and gas chromatography. Academic Leadership: Currently co-supervising a Master’s student in Biological Sciences. Serves as an examiner on external graduate committees and has participated in evaluation committees for undergraduate and specialization programs at UAQ. Professional Objective: To advance health sciences through applied and translational research, and through the training of skilled researchers, with the goal of generating meaningful advances in the study, diagnosis, and treatment of cancer and other chronic non-communicable diseases. For further information, please visit: https://www.researchgate.net/profile/Francisco-Lujan-Mendez • https://sciprofiles.com/profile/Francisco-Lujan • francisco.lujan@uaq.mx",México,2,https://elhadiyahia.net/wp-content/uploads/2026/04/Dr-Francisco-Lujan-Mendez.png
Antonio Rocha González,lab,Research Student,"Education : Universidad Autónoma de San Luis Potosi (UASLP) Nutrition student at the Universidad Autónoma de San Luis Potosí, interested in sports nutrition and scientific research.",México,3,https://elhadiyahia.net/wp-content/uploads/2025/07/WhatsApp-Image-2025-07-08-at-10.37.40-AM.jpeg
Guillermo A. Gordillo Pizarro,lab,Web & Digital,"Software Engineering Student, Software Developer, and IT Support Assistant Education: Student of Software Engineering at the Autonomous University of Querétaro (UAQ). Currently: serving as SNI Level III/Emeritus Researcher Assistant III, providing information technology support and web development for the laboratory website and digital resources.",México,4,https://elhadiyahia.net/wp-content/uploads/2026/04/Guillermo-Gordillo.jpg
Dr. Armando Carrillo-Lopez,collaborator,Collaborator,"(Sabbatical leave, during the period of January to December, 2016, from the Autonomous University of Sinaloa) Education: Doctorate in Biotechnology of Plants. CINVESTAV-IPN, Irapuato, Mexico.1996-2003. MSc. in Nutrition and Food. Area. Science and Technology of Fruits and Vegetables, CIAD, A. C. Hermosillo, Mexico. 1988-1991. BSc. in Biochemical Food Engineering. Technological Institute of Culiacán. Mexico. 1983-1988. Titular and Full-Time Professor-Researcher, level ¨C¨. Memberships: Member of the National Academy of Scientists for Mexico (SNI), level II, period 2023-2027. Reviewer of scientific manuscripts for Lebensmittel-Wissenchaft und – Technologie (LWT), and Journal of Agricultural and Food Chemistry, Journal of Foof Science, among others. Publications: 61 scientific articles, 3 books, 8 book chapters, 6 articles of scientific dissemination. Congress presentations: 28 (17 internationals, 11 domestics). Experience as Lecturer: Master in science courses: Plant physiology, Postharvest handling of fruits and vegetables, Biochemistry and physiology of fruits and vegetables. Experience as thesis director: 20 thesis (3 of PhD, 12 of MSc., 5 of BSc.). Lines of research: Postharvest technology and physiology of fruits and vegetables. Chemistry and Biochemistry of horticultural crops, and fruit ripening. Most recent experience as researcher: Identification and quantification of phenolic compounds and carotenoids in fruits and vegetables. Osmosonic dehydration (Ultrasound-assisted osmotic dehydration of mango; Partial dehydration of strawberry slices by hot-air drying. Most recent publication: Barraza-Elenes, C; Calderón-Castro, A; Gómez-Favela M.A.; Mondragón-Portocarrero, A.C. y Carrillo-López A. (2025). Manejo poscosecha de tuna y nopal verdura. In: Aprovechamiento sustentable y biotecnológico del nopal- TecNM Campus El Llano Aguascalientes (TecNM-ITEL) y Servicio Nacional de Inspección y Certificación de Semillas (SNICS-SADER). El Llano Aguascalientes, Méx. Pp.110-127. Most cited research article: (308 scientific citations as of March 2025). Corral-Aguayo, Rene D.; Yahia, Elhadi M.; Carrillo-Lopez, Armando; Gonzalez-Aguilar, Gustavo. Correlation between Some Nutritional Components and the Total Antioxidant Capacity Measured with Six Different Assays in Eight Horticultural Crops. J. Agric. Food Chem. 2008, 56(22):10498-10504. Outstanding published scientific work: Yahia, Elhadi M. and Armando Carrillo-López (Editors). 2019. Postharvest physiology and biochemistry of fruits and vegetables (Book published by Woodhead Publishing, Oxford, UK.). Other outstanding aspects: Total citations: 1975 (march 19, 2025); h-index=22. Job address: Posgrado en Ciencia y Tecnología de Alimentos (Food Science and Technology Postgraduate Program). Facultad de Ciencias…",México,1,https://elhadiyahia.net/wp-content/uploads/2025/06/Captura-de-pantalla-2025-06-02-140502.png
Dr. José de Jesús Ornelas-Paz,collaborator,Collaborator,"Professor and research scientist at the Research Center for Food and Development (CIAD) . Education: B.Sc., in Biochemical Engineering (Technological Institute of Morelia), M.Sc. in Food Science and Technology (Autonomous University of Querétaro), Doctorate in Sciences (Autonomous University of Querétaro-CIAD), visiting scholar at The Ohio State University, and postdoctoral research associate at Chapman University. Adscription: Senior researcher and professor at the Research Center for Food and Development (Cuauhtémoc, Chihuahua), where performs research on the postharvest biochemistry, physiology, and quality of fruits as a function of the postharvest technology (heat treatments, modified atmosphere packaging, controlled-atmosphere storage, cooking, industrial processing, application of pectin-oligosaccharides, exposure to ionizing and non-ionizing energy, etc.), ripening stage, genotype, rootstock, harvest season, agricultural practices, storage conditions, geographic origin, etc. Studies the in vitro gastrointestinal metabolism, stability, and bioaccesibility of bioactive compounds from fruits as well as the bioavailability of these compounds using the rat model. Collaborates in the areas of food science, physiochemical properties of lipids and polysaccharides, phytopathology, and biological control of pests. Other information: Friend, student, collaborator, and technical assistant of Dr. Elhadi M. Yahia. Dr. Ornelas is l eader of the research group “Natural Pigments” (23 researchers from eight countries), m ember of the National System of Researchers from Mexico (SNII 3), and participate in several international scientific organizations. He has authored/coauthored more than 120 peer-reviewed scientific papers in top journals and has more than 80 congress presentations. He serves as associate editor for two scientific journals and reviewer of scientific papers for 47 top journals. He received the National Award in Food Science and Technology (winner in 2018 and honorable mention in 2017, as lead researcher) and the Chihuahua Science, Technology, and Innovation Award 2013. Further information can be found at https://www.ciad.mx/personal/jose-de-jesus-ornelas-paz/ , https://www.researchgate.net/profile/Jose-Ornelas-Paz/research . E-mail: jornelas@ciad.mx",México,2,https://elhadiyahia.net/wp-content/uploads/2025/07/jjop.jpg
Dr. Gustavo González Aguilar,collaborator,Collaborator,"Coordinator of Plant foods technologies area and research scientist at the Research Center for Food and Development (CIAD) Education: Postdoctoral in Department of Agriculture (USDA), Beltsville Maryland, USA. (Stay Sabbath). Doctorate in Food Technology (Physiology and Biochemistry of Fruits and Vegetables) at the University of Valencia, Spain, 1995. M.S. Nutrition and Food (Preservation of Fruits and Vegetables) ICAS, AC Mexico. 1989. B.S. in Chemical Engineering (Specialty Food Technology) University of Sonora, Mexico. 1987. Research lines: Development of new technologies for storage of fresh cut vegetables of tropical and subtropical origin. Application of compounds of natural origin , such as antioxidants and antimicrobials, to reduce fungal decay and browning of fresh cut fruits . Characterization of the bioactive compounds ( Vit C , E , A and polyphenols) of commercially important tropical fruit in Mexico during ripening and senescence , and its relation to the total antioxidant capacity. Potential healthy phytochemicals present in fruits and vegetables . Study of enzymes related to the loss of sensory and nutritional quality of fresh-cut vegetables and its relation to shelf life. Characterization of phenolic compounds ( phenolic acids and flavonoids ) tropical fruit and its relation to the reduction of deterioration processes . Implementation of sanitation systems and sanitizing HACCP vegetable processing plants . Assessment of new sources of natural antioxidants for use as dietary supplements and funcional food. Job address: Researcher “C” Level III SNI. Research Center for Food and Development (CIAD). Address: Center Food Research and Development, AC. Victoria Road to 0.6 km. Hermosillo, Sonora, Mexico. C. P. 83000. PO Box # 1735. Phone:(6622) 89-24-00 ext 272. Fax: (6622) 04.22.80. E-mail: gustavo@ciad.mx",México,3,
Dra. Maria Elena Maldonado Celis,collaborator,Collaborator,"Full Professor – Senior Researcher at the School of Nutrition and Dietetics. Associated institution: School of Nutrition and Dietetics, University of Antioquia. Undergraduate and graduate academic qualifications: Biologist, Biochemist, Master's in Basic Biomedical Sciences, and PhD in Life and Health Sciences. Current position: Full Professor – Senior Researcher at the School of Nutrition and Dietetics. Associated institution: School of Nutrition and Dietetics, University of Antioquia. Area of ​​expertise: Her line of research is Natural Products for Cancer Chemoprevention and Experimental Nutrition, which uses in vitro and in vivo models and clinical trials in the context of certain types of cancer to identify and evaluate the chemopreventive properties and mechanisms of action of bioactive compounds or foods of plant origin. As part of her professional experience, she has published research and review articles in international and national scientific journals, as well as book chapters in collaboration with the international publishing house Wiley. She has also advised technological development projects for food companies in Medellín. Regarding her academic activities, she has advised undergraduate research projects in Biology for young researchers in nutrition and dietetics; and master's and doctoral theses in Biology, Pharmaceutical and Food Sciences, Food Sciences and Human Nutrition, and Basic Biomedical Sciences at the University of Antioquia. She has also advised several food companies in Antioquia. She teaches Nutritional Biochemistry at the School of Nutrition and Dietetics at the University of Antioquia (UdeA), and has offered elective courses to graduate students in Biology and Pharmaceutical and Food Sciences at the same university, focusing on nutrition and cancer, antioxidants, mechanisms of cell death, and fruits. She was coordinator of the PhD program in Human Nutrition and Food from 2021 to 2022, and head of the Center for Research in Food and Nutrition from 2021 to 2023. She is currently coordinator of the Research Group on the Impact of Food Components on Health at the University of Antioquia.",Colombia,4,https://elhadiyahia.net/wp-content/uploads/2025/06/Foto.Dra_.-Maria-Elena-Maldonado-Celis-1.jpg
Ph.D. Claudia Inés Victoria Campos,collaborator,Collaborator,"Full-time Professor at the Autonomous University of San Luis Potosí Education : Sabbatical leave in the Laboratory of Phytochemicals and Nutrition, in the Autonomous University of Querétaro, 2024, Ph.D. in Food Science, Research Center for Food and Development (CIAD), 2016. M.S. in Food Science, Research Center for Food and Development (CIAD), 2012, BSc. in Human Nutrition, Autonomous University of Querétaro (UAQ), 2009. Research Interests: Assessment of the phytochemical profile in fruits and vegetables in relation to biochemical, environmental, and storage factors. Evaluation of the digestibility and bioavailability of phytochemicals. Impact of phytochemical consumption on nutrition and chronic diseases, both basic science and public health perspectives. Additional Information: Her research has been published in high-impact international scientific journals and book chapters. ORCID: https://orcid.org/0000-0002-3668-7743. She was awarded an Honorable Mention in the 2017 National Food Science and Technology Award by the National Council of Science and Technology (CONACYT) and the Mexican Coca-Cola Industry. She is also a member of the National System of Researchers (SNI 1). Email: claudia.victoria@uaslp.mx",México,5,https://elhadiyahia.net/wp-content/uploads/2025/06/Captura-de-pantalla-2025-06-02-145623.png
Mayra Hernández Guerrero,past,Previous Member,Education: B. Sc. Biology Student at Autonomous University of Querétaro.,México,1,
